epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7963,4.2134,8.15094,4.38854,0,0,0,0,5.39368,7.53895,4.19313,0.000130435,0.000130435,0.000130435
2,92.8987,2.67571,5.97672,3.21697,0,0,0,0,5.4811,7.33503,4.29607,0.000261157,0.000261157,0.000261157
3,129.733,2.01446,4.32564,2.26349,0.01714,0.01393,0.01214,0.00542,4.66941,6.74746,3.82716,0.000389239,0.000389239,0.000389239
4,165.159,1.49288,3.59218,1.73102,0.04111,0.87345,0.06881,0.04856,1.14222,4.29637,1.8788,0.00038812,0.00038812,0.00038812
5,207.397,1.19719,3.3409,1.44085,0.05598,0.76552,0.09338,0.06989,0.97998,3.36104,1.34444,0.00038416,0.00038416,0.00038416
6,236.009,1.0536,3.17508,1.30182,0.03562,1,0.11195,0.09916,0.59326,3.1702,1.09822,0.0003802,0.0003802,0.0003802
7,263.215,0.89,2.96241,1.18645,0.05891,0.92461,0.14014,0.12334,0.54263,3.02575,1.00742,0.00037624,0.00037624,0.00037624
8,291.95,0.80583,2.85682,1.12999,0.19517,0.7426,0.1663,0.139,0.652,2.92145,1.05493,0.00037228,0.00037228,0.00037228
9,328.722,0.7738,2.68429,1.08252,0.15605,0.44662,0.19015,0.1665,0.62901,2.73382,0.99966,0.00036832,0.00036832,0.00036832
10,360.827,0.71381,2.55425,1.04497,0.20979,0.46176,0.21851,0.19697,0.47948,2.5509,0.94023,0.00036436,0.00036436,0.00036436
11,392.19,0.64902,2.45335,1.02314,0.32491,0.5142,0.29377,0.2718,0.40725,2.31181,0.89952,0.0003604,0.0003604,0.0003604
12,423.602,0.609,2.29612,0.99458,0.18479,0.64441,0.28476,0.26712,0.38264,2.17524,0.88665,0.00035644,0.00035644,0.00035644
13,458.203,0.6309,2.22138,0.99277,0.20569,0.68122,0.3558,0.33519,0.36767,2.07432,0.87601,0.00035248,0.00035248,0.00035248
14,495.764,0.60782,2.11768,0.99026,0.29745,0.64661,0.41349,0.38176,0.38631,2.01565,0.88326,0.00034852,0.00034852,0.00034852
15,529.21,0.57612,2.06563,0.96803,0.25992,0.68291,0.41196,0.38619,0.36431,2.02586,0.86841,0.00034456,0.00034456,0.00034456
16,559.878,0.56226,1.98655,0.97002,0.29066,0.74792,0.44942,0.43014,0.32384,1.75928,0.86168,0.0003406,0.0003406,0.0003406
17,588.945,0.54392,1.88935,0.94676,0.32978,0.78452,0.4694,0.4461,0.32259,1.69792,0.85452,0.00033664,0.00033664,0.00033664
18,616.582,0.5382,1.8351,0.95382,0.35512,0.78732,0.52298,0.48824,0.36229,1.61027,0.85661,0.00033268,0.00033268,0.00033268
19,646.548,0.50647,1.77833,0.93048,0.40965,0.7433,0.5333,0.51132,0.3272,1.54347,0.8556,0.00032872,0.00032872,0.00032872
20,694.409,0.50349,1.73343,0.93345,0.42528,0.79695,0.59382,0.55976,0.34134,1.45653,0.84292,0.00032476,0.00032476,0.00032476
21,745.099,0.50032,1.68261,0.92714,0.32808,0.80853,0.5784,0.55311,0.32167,1.527,0.83644,0.0003208,0.0003208,0.0003208
